,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
2,-0.5758645549428166,0.5925779114949395,-0.2251086212192365,0.24182197777135928,1.0,1.0,0.002801315070718957,m_a=0,IV,plugin,0.4
3,-0.18091916255986473,0.16535006777415073,-0.1809191625598648,0.16535006777415073,1.0,1.0,-0.002716016163324564,m_a=1,IV,plugin,0.4
4,-0.3457980002427818,0.3511980002427818,-0.17155999016559334,0.17695999016559333,1.0,1.0,0.0027499999999999747,m_u,IV,plugin,0.4
0,-0.5601461485217291,0.2528411792090785,-0.38805725985188305,0.10414298247368044,1.0,1.0,-0.08542872172540769,m_y=1,IV,plugin,0.4
1,-0.5356570552542601,0.23416207596844346,-0.3627234861710852,0.08551539713971174,1.0,1.0,-0.07565507384468796,m_y=0,IV,plugin,0.4
2,-0.5901926770548362,0.5902624429751249,-0.2388108310427572,0.2388805969630461,1.0,1.0,-0.0031353348279911097,m_a=0,IV,plugin,0.4
3,-0.16769996772664217,0.17593882922443665,-0.16769996772664214,0.1759388292244367,1.0,1.0,-0.006125860331289146,m_a=1,IV,plugin,0.4
4,-0.34170606280459537,0.3533060628045954,-0.16620839981386254,0.17780839981386254,1.0,1.0,-0.000899999999999998,m_u,IV,plugin,0.4
0,-0.6150570070997579,0.28176167879805447,-0.433383102897882,0.12833549485905074,1.0,1.0,-0.06788622184625144,m_y=1,IV,plugin,0.4
1,-0.5709255186589155,0.2613389998325871,-0.3834588606753525,0.10740562236914379,1.0,1.0,-0.06316987574694112,m_y=0,IV,plugin,0.4
2,-0.6051762553465292,0.6219371482901831,-0.2338790357732809,0.25063992871693486,1.0,1.0,0.0004767530589919744,m_a=0,IV,plugin,0.4
3,-0.18950312589500706,0.180852408023844,-0.18950312589500698,0.18085240802384403,1.0,1.0,-0.004500844126076986,m_a=1,IV,plugin,0.4
4,-0.36622515255469895,0.375425152554699,-0.18105922915352002,0.19025922915352006,1.0,1.0,0.0012000000000000205,m_u,IV,plugin,0.4
0,-0.5586904640484034,0.24773938290915348,-0.3949253770742266,0.10564398291548327,1.0,1.0,-0.07338777219430485,m_y=1,IV,plugin,0.4
